family_short,task,run_index,dev_mean,dev_max,dev_step0_mean,dev_step0_max,final_gap,gap_auc,update_mag_mean,update_mag_max
llama3.2-1b,squad,202,0.09343380604540705,0.4587471656744675,0.0,0.0,-0.024645116865634864,-69.97344901114698,0.7218401706100563,4.320463937813989
llama3.2-1b,agnews,203,0.07461387063843612,0.339949413625519,0.0,0.0,0.006293005369603644,-86.81885400190946,0.7519340201286812,4.354948052357812
qwen2.5-1.5b,alpaca,204,0.03837994108958991,0.0789584040553699,0.0,0.0,-0.00039720951765775947,-71.41152008287608,0.28737637349865697,0.7166171362178079
qwen2.5-1.5b,code,205,0.03918592842922348,0.11911807650908077,0.0,0.0,0.0018797920197248519,-58.999777574650935,0.26932097096741714,0.800975815032064
qwen2.5-1.5b,math,206,0.06302127799537072,0.14522212468936782,0.0,0.0,0.010233080377802253,-47.89393812241032,0.3823893074715831,1.325549833920889
qwen2.5-1.5b,xsum,207,0.04855062362510459,0.25132127274472854,0.0,0.0,-0.01077522698044775,-30.686748625338122,0.3260790976274371,1.8810262876514314
qwen2.5-1.5b,squad,208,0.04559190605799327,0.09592519991218951,0.0,0.0,-0.0015692305862903266,-73.53122030273079,0.3432990367928993,0.7206158130824935
qwen2.5-1.5b,agnews,209,0.04870096332295727,0.15224414363263203,0.0,0.0,0.004257213957607753,-72.13772915080189,0.31710799840086384,1.1208104439473474
llama3.2-1b,alpaca,210,0.053531476788713124,0.28218790220544754,0.0,0.0,-0.0040593270324170705,-74.83585339654236,0.6150283022552612,3.734348797977601
llama3.2-1b,code,211,0.059585161039496376,0.21559250878230277,0.0,0.0,0.0022165144830942063,-86.44506756588815,0.6583589971751314,3.766458780437854
llama3.2-1b,math,212,0.11239376557511663,0.3209629138649546,0.0,0.0,0.023168291375041006,-30.3876411743462,0.839759384915505,3.922522201505669
llama3.2-1b,xsum,213,0.09299722149257393,0.30169697664873896,0.0,0.0,0.003992481797933545,-50.69995937496427,0.7751161458648496,2.087581328587882
llama3.2-1b,squad,214,0.09471293027430278,0.4439400885190263,0.0,0.0,0.0021845823079348348,-71.37228599414227,0.7144930984489523,4.136137943383182
llama3.2-1b,agnews,215,0.07503247722207353,0.32879530972954435,0.0,0.0,0.006492686726152885,-86.90948018804193,0.7631691955648763,3.9816162718979173
qwen2.5-1.5b,alpaca,216,0.038675875655800045,0.08421840629249298,0.0,0.0,-0.002768144324421906,-74.89497493654491,0.28706953825316756,0.7903859860289589
qwen2.5-1.5b,code,217,0.03873773951878089,0.09122664693020373,0.0,0.0,0.0012659974396228846,-57.616711235046395,0.27056970030711686,0.7608621010449373
qwen2.5-1.5b,math,218,0.0625529254310213,0.1554868689766053,0.0,0.0,0.00839468831382692,-47.318455429654556,0.3777269698535964,1.5778039460867201
qwen2.5-1.5b,xsum,219,0.04729616408723357,0.2453798216116161,0.0,0.0,-0.030199453502893325,-33.595183281600484,0.3263607197106287,1.9421890072094303
qwen2.5-1.5b,squad,220,0.047213453929177286,0.08365359180130585,0.0,0.0,-0.010097711279988375,-68.83633611276744,0.3524106098363736,0.8457607398541775
qwen2.5-1.5b,agnews,221,0.048217263101807975,0.15297856296141948,0.0,0.0,0.004667369678616529,-70.08044500388206,0.3187433648002888,1.0307414959968404
llama3.2-1b,alpaca,222,0.0550072698104576,0.3253864256296986,0.0,0.0,-0.002971592046320415,-78.87760079093272,0.6230806640451306,3.8355754044319097
llama3.2-1b,code,223,0.05997895198797944,0.24252898461789182,0.0,0.0,0.0056703114360570905,-89.92368456162512,0.6630768066993864,3.979603509032211
llama3.2-1b,math,224,0.11591528766076203,0.3226147226427311,0.0,0.0,0.026722784362733343,-29.141352005302934,0.8580315057728574,3.933368016236253
